Этаж,Комнатность,Отделка,Вид из окон,Стоимость,Общая площадь (м.кв.),Высота потолка (м.),Срок сдачи
10,1к,Серый ключ,На улицу,11448000,"63,6","3,15",3 квартал 2027
2,2к,Серый ключ,Во двор,10402000,"74,3","3,15",3 квартал 2027
2,1к,Серый ключ,На улицу,6536000,43,"3,15",3 квартал 2027
2,1к,Серый ключ,На улицу,9996000,68,"3,15",3 квартал 2027
2,1к,Серый ключ,На улицу,9623900,"67,3","3,15",3 квартал 2027
2,2к,Серый ключ,Во двор и на улицу,10530000,78,"3,15",3 квартал 2027
3,2к,Серый ключ,Во двор,10907400,"74,2","3,15",3 квартал 2027
3,1к,Серый ключ,На улицу,6966000,43,"3,15",3 квартал 2027
3,1к,Серый ключ,На улицу,9928000,68,"3,15",3 квартал 2027
3,1к,Серый ключ,На улицу,9825800,"67,3","3,15",3 квартал 2027
3,2к,Серый ключ,Во двор и на улицу,10850000,"77,5","3,15",3 квартал 2027
4,2к,Серый ключ,Во двор,11130000,"74,2","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,8365500,"50,7","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,7310000,43,"3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,10472000,68,"3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,10364200,"67,3","3,15",3 квартал 2027
4,2к,Серый ключ,Во двор и на улицу,11121250,"77,5","3,15",3 квартал 2027
5,2к,Серый ключ,Во двор,11501000,"74,2","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,8872500,"50,7","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,8385000,43,"3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,10676000,68,"3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,10566100,"67,3","3,15",3 квартал 2027
6,2к,Серый ключ,Во двор,12243000,"74,2","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,9785100,"50,7","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,8987550,"42,9","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,11084000,68,"3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,10969900,"67,3","3,15",3 квартал 2027
7,2к,Серый ключ,Во двор,12243000,"74,2","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,10140000,"50,7","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,9352500,"43,5","3,15",3 квартал 2027
